ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
router, send_bit_count, port0, Accumulator, 3840088, 0, 219584, 126414848, 383, 64, 576
router, send_packet_count, port0, Accumulator, 3840088, 0, 383, 383, 383, 1, 1
router, output_port_stalls, port0, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port0, Accumulator, 3840088, 0, 3555315, 88436447893, 383, 498, 118783
router, width_adj_count, port0, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, send_bit_count, port1, Accumulator, 3840088, 0, 220416, 126763008, 388, 64, 576
router, send_packet_count, port1, Accumulator, 3840088, 0, 388, 388, 388, 1, 1
router, output_port_stalls, port1, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port1, Accumulator, 3840088, 0, 3554236, 97192154330, 388, 342, 53037
router, width_adj_count, port1, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, send_bit_count, port2, Accumulator, 3840088, 0, 220416, 126763008, 388, 64, 576
router, send_packet_count, port2, Accumulator, 3840088, 0, 388, 388, 388, 1, 1
router, output_port_stalls, port2, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port2, Accumulator, 3840088, 0, 3554236, 84226300864, 386, 498, 56689
router, width_adj_count, port2, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, send_bit_count, port3, Accumulator, 3840088, 0, 220416, 126763008, 388, 64, 576
router, send_packet_count, port3, Accumulator, 3840088, 0, 388, 388, 388, 1, 1
router, output_port_stalls, port3, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port3, Accumulator, 3840088, 0, 3554236, 105342516486, 386, 498, 68060
router, width_adj_count, port3, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, send_bit_count, port4, Accumulator, 3840088, 0, 219840, 126431232, 387, 64, 576
router, send_packet_count, port4, Accumulator, 3840088, 0, 387, 387, 387, 1, 1
router, output_port_stalls, port4, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port4, Accumulator, 3840088, 0, 3554983, 97244502015, 386, 498, 53037
router, width_adj_count, port4, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, send_bit_count, port5, Accumulator, 3840088, 0, 219840, 126431232, 387, 64, 576
router, send_packet_count, port5, Accumulator, 3840088, 0, 387, 387, 387, 1, 1
router, output_port_stalls, port5, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
router, idle_time, port5, Accumulator, 3840088, 0, 3554983, 112511465907, 384, 249, 54282
router, width_adj_count, port5, Accumulator, 3840088, 0, 0, 0, 0, 0, 0
